No.;Country;Region;LDC/SIDS;Date Posted;Language 1;Language 2
1;Albania;Eastern Europe;;October 27, 2021;English;
2;Argentina;Latin America and the Caribbean;;November 23, 2023;English;Spanish
3;Armenia;Eastern Europe;;September 24, 2021;English;
4;Azerbaijan;Eastern Europe;;November 12, 2024;English;
5;Bangladesh;Asia-Pacific;LDC;March 23, 2023;English;
6;Benin;Africa;LDC;July 8, 2022;French;
7;Bhutan;Asia-Pacific;;September 22, 2023;English;
8;Bosnia and Herzegovina;Eastern Europe;;December 21, 2022;English;
9;Brazil;Latin America and the Caribbean;;May 12, 2016;English;Portuguese
10;Burkina Faso;Africa;LDC;October 15, 2015;English;French
11;Burundi;Africa;LDC;December 4, 2023;French;
12;Cabo Verde;Africa;SIDS;October 23, 2022;English;Portuguese
13;Cambodia;Asia-Pacific;LDC;July 7, 2021;English;
14;Cameroon;Africa;;October 26, 2015;French;
15;Central African Republic;Africa;LDC;February 16, 2022;French;
16;Chad;Africa;LDC;February 15, 2022;English;French
17;Chile;Latin America and the Caribbean;;September 7, 2017;Spanish;
18;Colombia;Latin America and the Caribbean;;February 27, 2018;Spanish;
19;Costa Rica;Latin America and the Caribbean;;May 5, 2022;Spanish;
20;Democratic Republic of Congo;Africa;LDC;July 6, 2022;English;French
21;Ecuador;Latin America and the Caribbean;;March 21, 2023;Spanish;
22;Ethiopia;Africa;LDC;March 1, 2019;English;
23;Fiji;Asia-Pacific;SIDS;December 12, 2018;English;
24;Grenada;Latin America and the Caribbean;SIDS;November 6, 2019;English;
25;Guatemala;Latin America and the Caribbean;;August 2, 2019;Spanish;
26;Haiti;Latin America and the Caribbean;LDC, SIDS;January 5, 2023;French;
27;Kenya;Africa;;February 28, 2017;English;
28;Kiribati;Asia-Pacific;LDC, SIDS;January 21, 2020;English;
29;Kuwait;Asia-Pacific;;February 11, 2021;English;
30;Liberia;Africa;LDC;December 16, 2021;English;
31;Madagascar;Africa;LDC;May 29, 2022;French;
32;Marshall Islands;Asia-Pacific;SIDS;December 9, 2023;English;
33;Moldova;Eastern Europe;;June 26, 2024;English;
34;Morocco;Africa;;January 5, 2024;French;
35;Mozambique;Africa;LDC;July 7, 2023;English;
36;Nepal;Asia-Pacific;LDC;October 30, 2021;English;
37;Niger;Africa;LDC;November 14, 2022;French;
38;Pakistan;Asia-Pacific;;August 15, 2023;English;
39;Papua New Guinea;Asia-Pacific;SIDS;April 11, 2023;English;
40;Paraguay;Latin America and the Caribbean;;May 3, 2020July 14, 2022;Spanish;
41;Peru;Latin America and the Caribbean;;July 22, 2021;Spanish;
42;Philippines;Asia-Pacific;;May 30, 2024;English;
43;Saint Lucia;Latin America and the Caribbean;SIDS;September 21, 2018;English;
44;Saint Vincent and the Grenadines;Latin America and the Caribbean;SIDS;November 14, 2019;English;
45;Serbia;Eastern Europe;;July 12, 2024;English;
46;Sierra Leone;Africa;LDC;February 8, 2022;English;
47;South Africa;Africa;;29 September 2021;English;
48;South Sudan;Africa;LDC;November 1, 2021;English;
49;Sri Lanka;Asia-Pacific;;November 1, 2016;English;
50;State of Palestine;Asia-Pacific;;November 11, 2016;English;
51;Sudan;Africa;LDC;September 26, 2016;English;
52;Suriname;Latin America and the Caribbean;SIDS;June 2, 2020;English;
53;Thailand;Asia-Pacific;;April 18, 2024;English;
54;Timor-Leste;Asia-Pacific;LDC, SIDS;March 31, 2021;English;
55;Togo;Africa;LDC;January 17, 2018;French;
56;Tonga;Asia-Pacific;SIDS;October 27, 2021;English;
57;Trinidad and Tobago;Latin America and the Caribbean;SIDS;May 15, 2024;English;
58;Uruguay;Latin America and the Caribbean;;December 3, 2021;English;
59;Zambia;Africa;LDC;November 11, 2023;English;
60;Zimbabwe;Africa;;October 25, 2024;English;
