"iso3","country","napa_year","napa_month","source"
"AFG","Afghanistan",2009,9,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"AGO","Angola",2011,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"BGD","Bangladesh",2005,11,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"BEN","Benin",2008,1,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"BTN","Bhutan",2006,5,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"BFA","Burkina Faso",2007,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"BDI","Burundi",2007,2,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"KHM","Cambodia",2007,3,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"CPV","Cabo Verde",2007,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"CAF","Central African Republic",2008,6,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"TCD","Chad",2010,2,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"COM","Comoros",2006,11,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"COD","Democratic Republic of the Congo",2006,9,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"DJI","Djibouti",2006,10,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"GNQ","Equatorial Guinea",2013,11,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"ERI","Eritrea",2007,5,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"ETH","Ethiopia",2008,6,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"GMB","Gambia",2008,1,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"GIN","Guinea",2007,7,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"GNB","Guinea-Bissau",2008,2,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"HTI","Haiti",2006,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"KIR","Kiribati",2007,1,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"LAO","Lao PDR",2009,5,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"LSO","Lesotho",2007,6,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"LBR","Liberia",2007,7,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"MDG","Madagascar",2006,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"MWI","Malawi",2006,3,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"MDV","Maldives",2008,3,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"MLI","Mali",2007,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"MRT","Mauritania",2004,11,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"MOZ","Mozambique",2008,7,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"MMR","Myanmar",2013,5,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"NPL","Nepal",2010,11,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"NER","Niger",2006,7,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"RWA","Rwanda",2007,5,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"WSM","Samoa",2005,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"STP","Sao Tome and Principe",2007,11,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"SEN","Senegal",2006,11,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"SLE","Sierra Leone",2008,6,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"SLB","Solomon Islands",2008,12,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"SOM","Somalia",2013,4,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"SSD","South Sudan",2017,2,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"SDN","Sudan",2007,6,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"TZA","Tanzania",2007,9,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"TLS","Timor-Leste",2011,9,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
"TGO","Togo",2009,9,"UNFCCC 'NAPAs received' page (unfccc.int), transcribed by PI 2026-09-15"
